person_id,name,gender,abuser_project_count
1041267,James Stevens,0,1
1041314,Xavier Declie,2,1
1041440,Emory Cohen,2,4
1041452,John R. Peterson,0,1
1041547,Lykke Nielsen,1,1
10416,Mike Kaplan,0,1
1041608,Aileen Pringle,1,2
1041731,Rory Keenan,2,1
104191,Wiley M. Pickett,2,1
104196,Sean Cullen,2,1
1042,Frank Adu,2,1
1042227,Jack Rooney,0,1
1042265,Campbell Cotts,2,1
1042333,Athena Maria Bitzis,0,1
1042362,Patrick Griffin,2,1
1042392,Aurora Muñoz,0,1
1042516,Barak Hardley,2,1
1042599,Jack McDonald,2,1
10426,Diana Pokorny,0,1
1042667,Elle LaMont,0,1
1042684,Lydia Hull,1,6
10427,Anne Archer,1,4
104291,Claudette Nevins,1,1
104294,Alex Infascelli,0,1
10430,Fred Ward,2,7
1043044,Corby Sullivan,0,1
10431,Jennifer Jason Leigh,1,5
104331,Lewis Van Bergen,2,2
1043343,Dipankar Dey,0,1
104336,Morgan Hart,1,1
104338,Ivan Naranjo,2,1
104340,Vincent Baggetta,2,1
104341,Leslie Hunt,0,1
1043419,Robert Berger,0,1
104342,John Laughlin,2,2
10437,Lily Tomlin,1,5
10438,Jarrett Lennon,2,1
104382,Dyana Ortelli,1,2
1043835,Jeff Leach,0,1
104387,Christopher Michael,2,1
10439,Marshall Brickman,2,5
104390,Ty Randolph,0,1
1044,Michael Chapman,2,2
1044107,Carla Singer,0,1
104411,Gale Robbins,1,1
104418,Miles Chapin,2,1
1044195,Kim Collins,0,1
1044223,Nicky Bronson,0,1
1044259,Cree Kelly,0,1
104442,Captain Haggerty,2,1
10447,Mariel Hemingway,1,5
10448,Anne Byrne Hoffman,0,1
1044864,Dahn Ben Amotz,0,1
104488,Jerry G. Angelo,0,1
10449,Karen Ludwig,1,2
1044954,Sam Medina,2,1
1045,Bernard Herrmann,2,1
10450,Michael O'Donoghue,2,1
104501,Talent Harris,0,1
104502,Anthony C. Hall,2,1
104503,Scott Burkholder,2,1
104504,John Aprea,2,1
104505,John Vargas,2,1
104506,Rhonda Stubbins White,1,1
104507,Steve Gomer,2,1
104509,Jeff Wincott,2,1
104520,Robert Rundle,0,1
1045271,Tad Alexander,0,1
1045281,Birgit Conradi,0,1
104531,Jennifer Welles,1,1
1045532,Patrice Thibaud,0,1
104561,Craig Roberts,2,1
1045634,Bridget Turner,0,1
10458,Barbara Bach,1,1
10459,Curd Jürgens,2,2
1045964,Aaron Vexler,0,1
10460,Richard Kiel,0,3
104609,Lisa Comshaw,1,1
10461,Caroline Munro,1,1
1046127,Jason Stone,0,1
1046134,Molly Conners,0,1
1046154,Adi Shankar,2,2
1046155,Spencer Silna,0,2
1046160,Eli Bush,0,2
1046164,Julia Anne Robinson,1,1
10462,Geoffrey Keen,2,1
1046200,Andrea Moore,0,1
104625,Jan Merlin,0,1
1046296,Nicole Seguin,1,1
104630,Don Keefer,2,2
1046353,Eddy Moretti,2,1
1046374,Paul Graetz,0,1
1046436,Steven Luke,2,1
104646,Barbara Niven,1,1
104647,Melanie Good,1,2
1046494,Kris Pearn,0,1
1046507,Demofilo Fidani,0,2
1046511,Massimo Bernardi,0,1
1046512,Diego Spataro,0,1
1046524,Jeff Cameron,2,1
